Value, Probability
1, 9.859e-05
2, 0.00029865
3, 0.0005042
4, 0.0007049
5, 0.00090052
6, 0.00110513
7, 0.00129827
8, 0.00149537
9, 0.00169337
10, 0.00189821
11, 0.00209403
12, 0.00230112
13, 0.00249439
14, 0.00269405
15, 0.00290885
16, 0.00309704
17, 0.00330327
18, 0.0035039
19, 0.00371498
20, 0.00389246
21, 0.00409142
22, 0.00430271
23, 0.00449751
24, 0.00470316
25, 0.00490458
26, 0.00510508
27, 0.00528371
28, 0.00549993
29, 0.00569847
30, 0.00589121
31, 0.00609796
32, 0.00628987
33, 0.0064924
34, 0.00670545
35, 0.00689398
36, 0.00708524
37, 0.007303
38, 0.00749419
39, 0.00769634
40, 0.00788939
41, 0.00809179
42, 0.00829387
43, 0.00850808
44, 0.00870337
45, 0.008909
46, 0.00911277
47, 0.00931267
48, 0.0095169
49, 0.00970275
50, 0.00991066
51, 0.0100845
52, 0.0102999
53, 0.0104874
54, 0.0107074
55, 0.0108924
56, 0.0111101
57, 0.0113022
58, 0.0115147
59, 0.0117152
60, 0.0118712
61, 0.012101
62, 0.0122978
63, 0.0125166
64, 0.0126956
65, 0.0129122
66, 0.0131124
67, 0.0132984
68, 0.0135021
69, 0.0137008
70, 0.0138829
71, 0.0141029
72, 0.0143111
73, 0.0144988
74, 0.0147096
75, 0.0149005
76, 0.0151113
77, 0.0153143
78, 0.0155128
79, 0.0156954
80, 0.0159032
81, 0.0160897
82, 0.0162911
83, 0.0164828
84, 0.016698
85, 0.0168853
86, 0.0171144
87, 0.017314
88, 0.0174949
89, 0.0177051
90, 0.0179208
91, 0.0180972
92, 0.0183247
93, 0.0185076
94, 0.0186937
95, 0.018903
96, 0.0190889
97, 0.0192744
98, 0.0195037
99, 0.0197001
100, 0.0199123
