Value, Probability
1, 0.0100246
2, 0.00999812
3, 0.00999945
4, 0.00998751
5, 0.0100029
6, 0.00999411
7, 0.00998816
8, 0.0100246
9, 0.010009
10, 0.00999333
11, 0.0100097
12, 0.0100004
13, 0.00999853
14, 0.0100041
15, 0.0100037
16, 0.00999597
17, 0.00999692
18, 0.0100021
19, 0.00999939
20, 0.00999763
21, 0.010001
22, 0.00998882
23, 0.00999634
24, 0.00999414
25, 0.0100144
26, 0.00998978
27, 0.00999885
28, 0.00998812
29, 0.0100001
30, 0.0100066
31, 0.00998969
32, 0.00999873
33, 0.0100115
34, 0.00999837
35, 0.00999637
36, 0.00999622
37, 0.00999109
38, 0.0100091
39, 0.0100057
40, 0.0100141
41, 0.010006
42, 0.0100084
43, 0.00999441
44, 0.00999845
45, 0.00999629
46, 0.0100142
47, 0.00999792
48, 0.0100051
49, 0.0100059
50, 0.0100101
51, 0.00999645
52, 0.00999532
53, 0.0100001
54, 0.0100048
55, 0.010004
56, 0.0100026
57, 0.00998984
58, 0.00999487
59, 0.0100034
60, 0.0100042
61, 0.00999415
62, 0.0100098
63, 0.00999277
64, 0.00998581
65, 0.0100011
66, 0.0100135
67, 0.00999805
68, 0.0100027
69, 0.00999228
70, 0.00999691
71, 0.00999369
72, 0.00998844
73, 0.00999548
74, 0.01
75, 0.0100102
76, 0.00996814
77, 0.0100158
78, 0.00998907
79, 0.00997896
80, 0.00999284
81, 0.0100119
82, 0.00998824
83, 0.0100001
84, 0.0100081
85, 0.00998981
86, 0.0100016
87, 0.0100038
88, 0.0099924
89, 0.00999766
90, 0.0099842
91, 0.0100049
92, 0.00999215
93, 0.00999887
94, 0.0100072
95, 0.00999121
96, 0.0100158
97, 0.00999106
98, 0.0100051
99, 0.00999503
100, 0.00999679
