Value, Probability
1, 0.019872
2, 0.0197071
3, 0.019495
4, 0.0192805
5, 0.0191264
6, 0.0188957
7, 0.0187067
8, 0.0184964
9, 0.0183001
10, 0.0181003
11, 0.0179003
12, 0.0176858
13, 0.0175033
14, 0.0173099
15, 0.0171045
16, 0.0168868
17, 0.0166887
18, 0.0165289
19, 0.0163094
20, 0.0161038
21, 0.0159163
22, 0.0157047
23, 0.0155006
24, 0.015293
25, 0.015105
26, 0.0149025
27, 0.0147096
28, 0.0145056
29, 0.0143008
30, 0.0141113
31, 0.013905
32, 0.0136968
33, 0.0134972
34, 0.0132855
35, 0.0130932
36, 0.0128995
37, 0.0127059
38, 0.0125184
39, 0.0122923
40, 0.0121092
41, 0.0119264
42, 0.0116948
43, 0.0115078
44, 0.0112968
45, 0.011106
46, 0.0108945
47, 0.0106975
48, 0.0104974
49, 0.0103013
50, 0.0100885
51, 0.00989533
52, 0.0097038
53, 0.00951111
54, 0.009294
55, 0.00912159
56, 0.00889762
57, 0.00870156
58, 0.00849559
59, 0.00829029
60, 0.00810492
61, 0.00789933
62, 0.00768179
63, 0.00750469
64, 0.00730516
65, 0.00709327
66, 0.00690116
67, 0.00670467
68, 0.0064954
69, 0.00630193
70, 0.00609214
71, 0.00589887
72, 0.00570487
73, 0.00551412
74, 0.00529717
75, 0.00510464
76, 0.0048969
77, 0.00469794
78, 0.00450606
79, 0.00429632
80, 0.0040915
81, 0.00389597
82, 0.00369391
83, 0.00350363
84, 0.00329698
85, 0.00309804
86, 0.00290547
87, 0.00270784
88, 0.00249645
89, 0.00229733
90, 0.00209964
91, 0.00190284
92, 0.00169773
93, 0.00149672
94, 0.00130221
95, 0.00110637
96, 0.00089358
97, 0.00070008
98, 0.000505
99, 0.00030163
100, 0.00010082
